rowid,COUNTRY,INDICATOR,YR,AMOUNT,Government Type,Regime_type,Continent
1,Argentina,GDP at market prices current US,1970,31584210366,presidential republic,Flawed democracy,South America
2,Argentina,GDP per capita current US,1970,1317,presidential republic,Flawed democracy,South America
3,Argentina,Government expenditure per tertiary student as pct of GDP per capita pct,1970,0,presidential republic,Flawed democracy,South America
4,Argentina,Government expenditure per tertiary student constant US,1970,0,presidential republic,Flawed democracy,South America
5,Argentina,Government expenditure per tertiary student US,1970,0,presidential republic,Flawed democracy,South America
6,Argentina,Labor force total,1970,0,presidential republic,Flawed democracy,South America
7,Argentina,Population growth annual pct,1970,1,presidential republic,Flawed democracy,South America
8,Argentina,Population total,1970,23973058,presidential republic,Flawed democracy,South America
9,Argentina,GDP at market prices current US,1971,33293199095,presidential republic,Flawed democracy,South America
10,Argentina,GDP per capita current US,1971,1366,presidential republic,Flawed democracy,South America
11,Argentina,Government expenditure per tertiary student as pct of GDP per capita pct,1971,0,presidential republic,Flawed democracy,South America
12,Argentina,Government expenditure per tertiary student constant US,1971,0,presidential republic,Flawed democracy,South America
13,Argentina,Government expenditure per tertiary student US,1971,0,presidential republic,Flawed democracy,South America
14,Argentina,Labor force total,1971,0,presidential republic,Flawed democracy,South America
15,Argentina,Population growth annual pct,1971,1,presidential republic,Flawed democracy,South America
16,Argentina,Population total,1971,24366439,presidential republic,Flawed democracy,South America
17,Argentina,GDP at market prices current US,1972,34733000536,presidential republic,Flawed democracy,South America
18,Argentina,GDP per capita current US,1972,1401,presidential republic,Flawed democracy,South America
19,Argentina,Government expenditure per tertiary student as pct of GDP per capita pct,1972,0,presidential republic,Flawed democracy,South America
20,Argentina,Government expenditure per tertiary student constant US,1972,0,presidential republic,Flawed democracy,South America
21,Argentina,Government expenditure per tertiary student US,1972,0,presidential republic,Flawed democracy,South America
22,Argentina,Labor force total,1972,0,presidential republic,Flawed democracy,South America
23,Argentina,Population growth annual pct,1972,1,presidential republic,Flawed democracy,South America
24,Argentina,Population total,1972,24782949,presidential republic,Flawed democracy,South America
25,Argentina,GDP at market prices current US,1973,52544000117,presidential republic,Flawed democracy,South America
26,Argentina,GDP per capita current US,1973,2083,presidential republic,Flawed democracy,South America
27,Argentina,Government expenditure per tertiary student as pct of GDP per capita pct,1973,0,presidential republic,Flawed democracy,South America
28,Argentina,Government expenditure per tertiary student constant US,1973,0,presidential republic,Flawed democracy,South America
29,Argentina,Government expenditure per tertiary student US,1973,0,presidential republic,Flawed democracy,South America
30,Argentina,Labor force total,1973,0,presidential republic,Flawed democracy,South America
31,Argentina,Population growth annual pct,1973,1,presidential republic,Flawed democracy,South America
32,Argentina,Population total,1973,25213388,presidential republic,Flawed democracy,South America
33,Argentina,GDP at market prices current US,1974,72436777342,presidential republic,Flawed democracy,South America
34,Argentina,GDP per capita current US,1974,2824,presidential republic,Flawed democracy,South America
35,Argentina,Government expenditure per tertiary student as pct of GDP per capita pct,1974,0,presidential republic,Flawed democracy,South America
36,Argentina,Government expenditure per tertiary student constant US,1974,0,presidential republic,Flawed democracy,South America
37,Argentina,Government expenditure per tertiary student US,1974,0,presidential republic,Flawed democracy,South America
38,Argentina,Labor force total,1974,0,presidential republic,Flawed democracy,South America
39,Argentina,Population growth annual pct,1974,1,presidential republic,Flawed democracy,South America
40,Argentina,Population total,1974,25644506,presidential republic,Flawed democracy,South America
41,Argentina,GDP at market prices current US,1975,52438647922,presidential republic,Flawed democracy,South America
42,Argentina,GDP per capita current US,1975,2011,presidential republic,Flawed democracy,South America
43,Argentina,Government expenditure per tertiary student as pct of GDP per capita pct,1975,0,presidential republic,Flawed democracy,South America
44,Argentina,Government expenditure per tertiary student constant US,1975,0,presidential republic,Flawed democracy,South America
45,Argentina,Government expenditure per tertiary student US,1975,0,presidential republic,Flawed democracy,South America
46,Argentina,Labor force total,1975,0,presidential republic,Flawed democracy,South America
47,Argentina,Population growth annual pct,1975,1,presidential republic,Flawed democracy,South America
48,Argentina,Population total,1975,26066975,presidential republic,Flawed democracy,South America
49,Argentina,GDP at market prices current US,1976,51169499891,presidential republic,Flawed democracy,South America
50,Argentina,GDP per capita current US,1976,1932,presidential republic,Flawed democracy,South America
51,Argentina,Government expenditure per tertiary student as pct of GDP per capita pct,1976,0,presidential republic,Flawed democracy,South America
52,Argentina,Government expenditure per tertiary student constant US,1976,0,presidential republic,Flawed democracy,South America
53,Argentina,Government expenditure per tertiary student US,1976,0,presidential republic,Flawed democracy,South America
54,Argentina,Labor force total,1976,0,presidential republic,Flawed democracy,South America
55,Argentina,Population growth annual pct,1976,1,presidential republic,Flawed democracy,South America
56,Argentina,Population total,1976,26477152,presidential republic,Flawed democracy,South America
57,Argentina,GDP at market prices current US,1977,56781000101,presidential republic,Flawed democracy,South America
58,Argentina,GDP per capita current US,1977,2112,presidential republic,Flawed democracy,South America
59,Argentina,Government expenditure per tertiary student as pct of GDP per capita pct,1977,0,presidential republic,Flawed democracy,South America
60,Argentina,Government expenditure per tertiary student constant US,1977,0,presidential republic,Flawed democracy,South America
61,Argentina,Government expenditure per tertiary student US,1977,0,presidential republic,Flawed democracy,South America
62,Argentina,Labor force total,1977,0,presidential republic,Flawed democracy,South America
63,Argentina,Population growth annual pct,1977,1,presidential republic,Flawed democracy,South America
64,Argentina,Population total,1977,26878565,presidential republic,Flawed democracy,South America
65,Argentina,GDP at market prices current US,1978,58082870156,presidential republic,Flawed democracy,South America
66,Argentina,GDP per capita current US,1978,2129,presidential republic,Flawed democracy,South America
67,Argentina,Government expenditure per tertiary student as pct of GDP per capita pct,1978,0,presidential republic,Flawed democracy,South America
68,Argentina,Government expenditure per tertiary student constant US,1978,0,presidential republic,Flawed democracy,South America
69,Argentina,Government expenditure per tertiary student US,1978,0,presidential republic,Flawed democracy,South America
70,Argentina,Labor force total,1978,0,presidential republic,Flawed democracy,South America
71,Argentina,Population growth annual pct,1978,1,presidential republic,Flawed democracy,South America
72,Argentina,Population total,1978,27277741,presidential republic,Flawed democracy,South America
73,Argentina,GDP at market prices current US,1979,69252328953,presidential republic,Flawed democracy,South America
74,Argentina,GDP per capita current US,1979,2501,presidential republic,Flawed democracy,South America
75,Argentina,Government expenditure per tertiary student as pct of GDP per capita pct,1979,0,presidential republic,Flawed democracy,South America
76,Argentina,Government expenditure per tertiary student constant US,1979,0,presidential republic,Flawed democracy,South America
77,Argentina,Government expenditure per tertiary student US,1979,0,presidential republic,Flawed democracy,South America
78,Argentina,Labor force total,1979,0,presidential republic,Flawed democracy,South America
79,Argentina,Population growth annual pct,1979,1,presidential republic,Flawed democracy,South America
80,Argentina,Population total,1979,27684534,presidential republic,Flawed democracy,South America
81,Argentina,GDP at market prices current US,1980,76961923742,presidential republic,Flawed democracy,South America
82,Argentina,GDP per capita current US,1980,2738,presidential republic,Flawed democracy,South America
83,Argentina,Government expenditure per tertiary student as pct of GDP per capita pct,1980,0,presidential republic,Flawed democracy,South America
84,Argentina,Government expenditure per tertiary student constant US,1980,0,presidential republic,Flawed democracy,South America
85,Argentina,Government expenditure per tertiary student US,1980,0,presidential republic,Flawed democracy,South America
86,Argentina,Labor force total,1980,0,presidential republic,Flawed democracy,South America
87,Argentina,Population growth annual pct,1980,1,presidential republic,Flawed democracy,South America
88,Argentina,Population total,1980,28105888,presidential republic,Flawed democracy,South America
